client,local accuracy
client393,0.4935064911842346
client394,0.5370370149612427
client395,0.602739691734314
client396,0.6307692527770996
client397,0.6705729365348816
client398,0.6129032373428345
client399,0.5483871102333069
client400,0.4888888895511627
client401,0.625
client402,0.5199999809265137
client403,0.7894737124443054
client404,0.5727272629737854
client405,0.7291666865348816
client406,0.6888889074325562
client407,0.7321428656578064
client408,0.604938268661499
client409,0.6614173054695129
client410,0.6219512224197388
client411,0.8571428656578064
client412,0.7283950448036194
client413,0.5764706134796143
client414,0.584269642829895
client415,0.6578947305679321
client416,0.5826771855354309
client417,0.7014925479888916
client418,0.5340909361839294
client419,0.48235294222831726
client420,0.4000000059604645
client421,0.7532467246055603
client422,0.7454545497894287
client423,0.7754836082458496
client424,0.7428571581840515
client425,0.7400000095367432
client426,0.37837839126586914
client427,0.6637167930603027
client428,0.6666666865348816
client429,0.5520833730697632
client430,0.485981285572052
client431,0.5210084319114685
client432,0.5957446694374084
client433,0.6538462042808533
client434,0.7698863744735718
client435,0.5858585834503174
client436,0.7118644118309021
client437,0.5890411138534546
client438,0.5631067752838135
client439,0.5087719559669495
client440,0.5403225421905518
client441,0.6536458730697632
client442,0.7216494679450989
client443,0.701298713684082
client444,0.7421875
client445,0.5
client446,0.6668527126312256
client447,0.7215909361839294
client448,0.7986111044883728
client449,0.5339806079864502
client450,0.7021276354789734
client451,0.6964285969734192
client452,0.5806451439857483
client453,0.535714328289032
client454,0.6972476840019226
client455,0.6153846383094788
client456,0.4757281541824341
client457,0.5576923489570618
client458,0.5274725556373596
client459,0.46052631735801697
client460,0.6590909361839294
client461,0.5480769276618958
client462,0.550000011920929
client463,0.4672897160053253
client464,1.0
client465,0.8484848737716675
client466,0.5666667222976685
client467,0.5876288414001465
client468,0.5232558250427246
client469,0.6637930870056152
client470,0.5384615659713745
client471,0.6525423526763916
client472,0.6281960010528564
client473,0.5099999904632568
client474,0.4705882668495178
client475,0.5581395626068115
client476,0.7460317611694336
client477,0.5411764979362488
client478,0.7685185074806213
client479,0.6363636255264282
client480,0.8139534592628479
client481,0.76171875
client482,0.509615421295166
client483,0.5652173757553101
client484,0.71875
client485,0.85546875
client486,0.5714285969734192
client487,0.5423728823661804
client488,0.5284552574157715
client489,0.6380208730697632
client490,0.43478262424468994
client491,0.6696428656578064
client492,0.6019417643547058
client493,0.5929203629493713
client494,0.6000000238418579
client495,0.582524299621582
client496,0.6809896230697632
client497,0.5538461804389954
client498,0.5405405759811401
client499,0.49038463830947876
